dataset_id,timestamp,tahun,bulan,tahun_bulan,tipe_transaksi,category,amount,metode_pembayaran,status_transaksi,sumber_file,source,hour,day_of_week,day_name,day_of_month,month,date_only,is_weekend,week_period,hour_sin,hour_cos,is_night,is_late_night,night_score,time_segment,category_score,category_type,is_hedonic_category,amount_log,amount_z,amount_score,amount_percentile,is_high_amount,user_proxy,transactions_same_day,daily_amount_total,share_of_daily_spend,amount_vs_weekly_avg,budget_limit,spent_so_far,budget_remaining_ratio,weekend_score,fingo_impulse_signal,signal_band,label
ecommerce_sales,2025-02-04 13:27:00,2025,2,2025-02,Sales,Belanja,11900.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,13,1,Tuesday,4,2025-02,2025-02-04,0,6,-0.2588190451025208,-0.9659258262890684,0,0,0.0833333333333333,midday,1.0,hedonic,1,9.38437770918244,-0.8068039003806928,0.3655326832698845,0.1025302530253025,0,ecommerce_sales_unknown_unknown,40,1055720.0,0.0112719281627704,0.162362628780934,1392395.8305830583,2483907.0,0.0,0.0,0.4205498374841377,low,AMAN
ecommerce_sales,2025-11-25 17:57:00,2025,11,2025-11,Sales,Belanja,100040.0,Online Payment,"Pesanan diterima, namun Pembeli masih dapat mengajukan pengembalian hingga 2025-12-05.",ecommerce_sales_clean.csv,ecommerce_sales,17,1,Tuesday,25,2025-11,2025-11-25,0,48,-0.9659258262890684,-0.2588190451025206,0,0,0.4166666666666666,evening,1.0,hedonic,1,11.513335380943197,3.0,1.0,0.9095709570957096,1,ecommerce_sales_unknown_unknown,44,2439263.0,0.0410123877581056,2.4915429815557717,1392395.8305830583,1615775.0,0.0,0.0,0.6958333333333333,watch,PERTIMBANGAN
ecommerce_sales,2025-11-10 13:26:00,2025,11,2025-11,Sales,Belanja,33000.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,13,0,Monday,10,2025-11,2025-11-10,0,46,-0.2588190451025208,-0.9659258262890684,0,0,0.0833333333333333,midday,1.0,hedonic,1,10.404293143019792,0.6578405372027727,0.6096400895337954,0.6343234323432343,0,ecommerce_sales_unknown_unknown,45,2214649.0,0.0149007811170077,0.7001508313912105,1392395.8305830583,930567.0,0.3316792685235704,0.0,0.4815766890501155,low,AMAN
ecommerce_sales,2025-02-27 23:20:00,2025,2,2025-02,Sales,Belanja,49568.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,23,3,Thursday,27,2025-02,2025-02-27,0,9,-0.2588190451025215,0.965925826289068,1,0,0.9166666666666666,night,1.0,hedonic,1,10.8111209173191,1.80789878563324,0.8013164642722067,0.7788778877887789,0,ecommerce_sales_unknown_unknown,24,1277729.0,0.0387938287383318,0.7109515986399014,1392395.8305830583,7322262.0,0.0,0.0,0.821162449401385,high,IMPULSIF
daily_household,2017-03-15 06:17:32,2017,3,2017-03,Expense,Makanan,7320.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,6,2,Wednesday,15,2017-03,2017-03-15,0,11,1.0,6.123233995736766e-17,0,0,0.5,morning,0.5,neutral,0,8.898502209646642,-0.4761176470587929,0.4206470588235345,0.2969004893964111,0,daily_household_unknown_unknown,3,36783.0,0.1990049751243727,0.0901774597484196,12617743.237561176,1318441.8,0.8955089055802631,0.0,0.4301617647058836,low,AMAN
personal_finance,2021-07-09 00:00:00,2021,7,2021-07,Expense,Lainnya,1747.27,,Expense,personal_finance_clean.csv,personal_finance,0,4,Friday,9,2021-07,2021-07-09,0,27,0.0,1.0,0,1,1.0,late_night,0.5,neutral,0,7.4663820065299795,0.7332144768775831,0.6222024128129305,0.768,0,personal_finance_unknown_unknown,2,3382.88,0.5165036891641097,1.2413194440581274,32688.022833333336,16135.76,0.5063708783406072,0.0,0.6555506032032327,watch,PERTIMBANGAN
daily_household,2016-12-31 13:47:26,2016,12,2016-12,Expense,Lainnya,515328.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,13,5,Saturday,31,2016-12,2016-12-31,1,52,-0.2588190451025208,-0.9659258262890684,0,0,0.0833333333333333,midday,0.5,neutral,0,13.152560810629144,3.0,1.0,0.8988580750407831,0,daily_household_unknown_unknown,9,11221011.0,0.0459252735782898,0.2086750321114513,12617743.237561176,1728069.0,0.8630445264684263,1.0,0.5291666666666667,watch,PERTIMBANGAN
daily_household,2018-03-30 11:27:41,2018,3,2018-03,Expense,Makanan,3660.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,11,4,Friday,30,2018-03,2018-03-30,0,13,0.258819045102521,-0.9659258262890682,0,0,0.0833333333333333,midday,0.5,neutral,0,8.205491613120236,-0.6348235294117239,0.3941960784313793,0.116231647634584,0,daily_household_unknown_unknown,3,21411.0,0.1709401709401629,0.0043740091129696,12617743.237561176,31968050.4,0.0,0.0,0.2777156862745115,low,AMAN
daily_household,2018-02-27 13:21:31,2018,2,2018-02,Expense,Makanan,5490.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,13,1,Tuesday,27,2018-02,2018-02-27,0,9,-0.2588190451025208,-0.9659258262890684,0,0,0.0833333333333333,midday,0.5,neutral,0,8.610865667278873,-0.5554705882352583,0.4074215686274569,0.2159461663947797,0,daily_household_unknown_unknown,2,12444.0,0.4411764705881998,0.0100499987437501,12617743.237561176,27660267.0,0.0,0.0,0.2810220588235309,low,AMAN
ecommerce_sales,2025-02-10 10:58:00,2025,2,2025-02,Sales,Belanja,22800.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,0,Monday,10,2025-02,2025-02-10,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,10.034559673629849,-0.0501866316764381,0.4916355613872603,0.4810781078107811,0,ecommerce_sales_unknown_unknown,35,1508546.0,0.0151138911243011,0.3980850907700737,1392395.8305830583,287200.0,0.7937368141358645,0.0,0.4812422236801483,low,AMAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,21500.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,9.975854724662028,-0.1404253884943768,0.4765957685842705,0.4386138613861386,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0002117327539905,0.3753872566472186,1392395.8305830583,68438157.0,0.0,0.0,0.4774822754794009,low,AMAN
daily_household,2016-10-12 00:00:00,2016,10,2016-10,Expense,Makanan,27450.0,Saving Bank account 1,Expense,daily_household_transactions_clean.csv,daily_household,0,2,Wednesday,12,2016-10,2016-10-12,0,41,0.0,1.0,0,1,1.0,late_night,0.5,neutral,0,10.22015787614662,0.3967647058823274,0.5661274509803879,0.5436378466557912,0,daily_household_unknown_unknown,1,27450.0,0.9999999999999636,0.017937648733004,12617743.237561176,2796057.0,0.7784027660606891,0.0,0.641531862745097,watch,PERTIMBANGAN
ecommerce_sales,2024-06-18 08:10:00,2024,6,2024-06,Sales,Belanja,59400.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,8,1,Tuesday,18,2024-06,2024-06-18,0,25,0.8660254037844387,-0.4999999999999998,0,0,0.3333333333333333,morning,1.0,hedonic,1,10.992066340225865,2.490381444890142,0.9150635741483568,0.8233223322332234,0,ecommerce_sales_unknown_unknown,31,745162.0,0.0797142097959905,1.0937251701290025,1392395.8305830583,1211170.0,0.1301539595297199,0.0,0.6454325602037558,watch,PERTIMBANGAN
ecommerce_sales,2025-02-16 20:34:00,2025,2,2025-02,Sales,Belanja,17102.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,20,6,Sunday,16,2025-02,2025-02-16,1,7,-0.8660254037844386,0.5000000000000001,1,0,0.6666666666666667,night,1.0,hedonic,1,9.74700916569969,-0.4457100442522954,0.4257149926246175,0.2363036303630363,0,ecommerce_sales_unknown_unknown,23,1201390.0,0.0142351775859629,0.2985987378223597,1392395.8305830583,109797951.0,0.0,1.0,0.7397620814894876,high,IMPULSIF
daily_household,2016-04-20 10:27:48,2016,4,2016-04,Expense,Lainnya,45933.0,Saving Bank account 1,Expense,daily_household_transactions_clean.csv,daily_household,10,2,Wednesday,20,2016-04,2016-04-20,0,16,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,0.5,neutral,0,10.73496086257636,1.1982294117646288,0.6997049019607715,0.6327487765089723,0,daily_household_unknown_unknown,1,45933.0,0.9999999999999784,0.9587806187709074,12617743.237561176,595665.0,0.952791478730777,0.0,0.3832595588235262,low,AMAN
daily_household,2015-08-30 13:18:42,2015,8,2015-08,Expense,Lainnya,13176.0,Saving Bank account 1,Expense,daily_household_transactions_clean.csv,daily_household,13,6,Sunday,30,2015-08,2015-08-30,1,35,-0.2588190451025208,-0.9659258262890684,0,0,0.0833333333333333,midday,0.5,neutral,0,9.486228164545253,-0.2221882352941033,0.4629686274509828,0.4390293637846655,0,daily_household_unknown_unknown,1,13176.0,0.999999999999924,0.013419467469246,12617743.237561176,49593.0,0.9960695824073856,1.0,0.3949088235294123,low,AMAN
ecommerce_sales,2025-11-07 06:54:00,2025,11,2025-11,Sales,Belanja,11900.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,6,4,Friday,7,2025-11,2025-11-07,0,45,1.0,6.123233995736766e-17,0,0,0.5,morning,1.0,hedonic,1,9.38437770918244,-0.8068039003806928,0.3655326832698845,0.1025302530253025,0,ecommerce_sales_unknown_unknown,32,1134004.0,0.010493790145361,0.2024419813633519,1392395.8305830583,10089444.0,0.0,0.0,0.5663831708174711,watch,PERTIMBANGAN
